Gene ID	Gene Symbol	CCFA_Risk_048
100506145	LOC100506145	0
100287102.chr1.1	DDX11L1	0
100287102.chr1.2	DDX11L1	0
653635	WASH7P	14.057
100302278	MIR1302-2	0
645520	FAM138A	0
79504	OR4G4P	0
403263	OR4G11P	0
79501	OR4F5	0
100420257	LOC100420257	0
729737	LOC729737	3.4072
728481	RPL23AP21	0
100132287	LOC100132287	5.4331
100288667	CICP7	0
100288646	LOC100288646	0
729759	OR4F29	0
728517	RPL23AP24	0
100652939	LOC100652939	0
81399	OR4F16	0
100287654	LOC100287654	0
100132630	CICP3	0
100133331	LOC100133331	4.8534
100288069	LOC100288069	0.75203
100287934	LOC100287934	0
400728	FAM87B	0
79854	LINC00115	0.88072
643837	LOC643837	0.78683
100506327	LOC100506327	0
284593	FAM41C	0.97349
388579	LOC388579	0
284600	LOC284600	0.063529
100130417	LOC100130417	1.3174
148398	SAMD11	6.8395
26155	NOC2L	6.9485
339451	KLHL17	2.4379
84069	PLEKHN1	0.30253
84808	C1orf170	0.5059
57801	HES4	10.0674
100270829	RPL39P12	0
9636	ISG15	201.411
375790	AGRN	10.7394
100288175	LOC100288175	0.42337
401934	RNF223	0.51689
54991	C1orf159	5.095
254099	LOC254099	0.23896
406984	MIR200B	0
406983	MIR200A	1.8473
554210	MIR429	6.4284
100506376	TTLL10-AS1	0
254173	TTLL10	0.18423
8784	TNFRSF18	12.5016
7293	TNFRSF4	7.9491
51150	SDF4	48.3904
126792	B3GALT6	4.7083
388581	FAM132A	50.4258
118424	UBE2J2	23.2555
6339	SCNN1D	4.0121
116983	ACAP3	8.2377
126789	PUSL1	5.3382
54973	CPSF3L	12.7197
80772	GLTPD1	30.9309
83756	TAS1R3	0.30218
1855	DVL1	12.7265
54587	MXRA8	12.5004
54998	AURKAIP1	110.6546
81669	CCNL2	22.1198
148413	LOC148413	6.8305
55052	MRPL20	35.2485
441869	ANKRD65	1.1024
643965	TMEM88B	0.39292
64856	VWA1	17.7592
219293	ATAD3C	1.517
83858	ATAD3B	5.3177
55210	ATAD3A	4.4216
339453	TMEM240	0.020768
29101	SSU72	24.4397
643988	C1orf233	2.0359
142678	MIB2	7.6947
8510	MMP23B	1.6872
728661	SLC35E2B	9.1694
984	CDK11B	0
100287685	LOC100287685	0
100288379	LOC100288379	0
8511	MMP23A	2.3761
728642	CDK11A	17.5388
9906	SLC35E2	8.2808
100129381	LOC100129381	0
65220	NADK	24.43
2782	GNB1	115.8199
163688	CALML6	0.16505
339456	TMEM52	1.7521
339457	C1orf222	0.070145
85452	KIAA1751	0.24651
2563	GABRD	0
5590	PRKCZ	6.8235
100506504	LOC100506504	0
199990	C1orf86	17.4415
6497	SKI	4.302
79906	MORN1	0.35851
100129534	LOC100129534	0.34398
11079	RER1	74.9155
5192	PEX10	3.532
9651	PLCH2	1.4002
55229	PANK4	5.0547
388585	HES5	0.14802
115110	LOC115110	31.5106
100133445	LOC100133445	6.3856
8764	TNFRSF14	61.2622
100131742	LOC100131742	0
127281	FAM213B	19.0834
79258	MMEL1	0.48193
100287898	TTC34	0
140625	ACTRT2	0
440556	FLJ42875	0.2719
63976	PRDM16	0.11076
100420339	LOC100420339	0
100422968	MIR4251	0
27237	ARHGEF16	27.628
1953	MEGF6	0.99036
693135	MIR551A	0
127262	TPRG1L	58.1468
49856	WRAP73	4.7615
7161	TP73	0.09029
100506635	LOC100506635	0
57212	TP73-AS1	1.3561
148870	CCDC27	0
388588	LOC388588	2.4997
57470	LRRC47	14.631
9731	CEP104	2.2603
1677	DFFB	2.1996
339448	C1orf174	8.0377
100133612	LOC100133612	0.78667
728716	LOC728716	0
644357	LOC644357	0
284661	LOC284661	0
55966	AJAP1	0.11656
100616489	MIR4417	0
100287877	LOC100287877	0
100616421	MIR4689	0
261734	NPHP4	0.63501
8514	KCNAB2	2.3737
26038	CHD5	0
6146	RPL22	134.8285
388591	RNF207	1.9891
23463	ICMT	16.7222
148645	LINC00337	0
390992	HES3	0.27736
387509	GPR153	16.2099
11332	ACOT7	33.4546
100130071	LOC100130071	0
54626	HES2	1.9451
83715	ESPN	48.158
100422975	MIR4252	0
8718	TNFRSF25	20.4066
57449	PLEKHG5	2.0628
79707	NOL9	2.3855
80835	TAS1R1	0
3104	ZBTB48	12.9458
9903	KLHL21	2.9089
148479	PHF13	3.1078
90326	THAP3	11.7528
55735	DNAJC11	5.3911
100505887	LOC100505887	0
23261	CAMTA1	2.8016
100270828	RPL37P9	0
100129476	LOC100129476	0
9341	VAMP3	47.5695
8863	PER3	2.2796
10911	UTS2	0.64964
3604	TNFRSF9	0.76099
11315	PARK7	31.0364
54206	ERRFI1	8.3261
390993	RPL7AP18	0
100129776	LOC100129776	0
50651	SLC45A1	0.15641
473	RERE	7.2948
100270823	RPL7P11	0
644896	RPL7P7	0
100128662	RPL27P3	0
100131143	RPL23AP19	0
2023	ENO1	145.0967
100505975	ENO1-AS1	0
100113373	HMGN2P17	0
765	CA6	0
155184	SLC2A7	0.23615
6518	SLC2A5	57.3157
80045	GPR157	0.11437
727721	LOC727721	0.49128
407040	MIR34A	0
9563	H6PD	6.9319
80176	SPSB1	9.7487
100506022	LOC100506022	0
84275	SLC25A33	3.5091
642740	RPL9P11	0
199953	TMEM201	0.73876
5293	PIK3CD	4.5716
644997	C1orf200	0.21209
100270883	RPL26P7	0
22883	CLSTN1	29.3334
645010	FLJ16126	0
56998	CTNNBIP1	6.2611
84328	LZIC	13.8179
64802	NMNAT1	7.0559
116362	RBP7	1.111
10277	UBE4B	3.6598
100270877	RPL21P21	0
100420660	PGAM1P11	0
23095	KIF1B	2.9677
100422970	MIR1273D	0
100287506	LOC100287506	0
5226	PGD	47.4383
100526739	APITD1-CORT	0
378708	APITD1	4.5834
1325	CORT	1.0993
1676	DFFA	4.2204
5195	PEX14	4.9631
54897	CASZ1	5.5206
148345	C1orf127	0.48468
390996	LOC390996	0
23435	TARDBP	18.8031
10747	MASP2	0.24538
6723	SRM	11.997
5394	EXOSC10	5.3002
100652764	LOC100652764	0
2475	MTOR	2.658
10218	ANGPTL7	0.08638
100270891	RPL39P6	0
29914	UBIAD1	2.2636
100421341	LOC100421341	0
57540	PTCHD2	0.065822
26232	FBXO2	2.8673
93611	FBXO44	4.1697
26270	FBXO6	23.3365
10459	MAD2L2	11.6139
374946	C1orf187	0.21807
57085	AGTRAP	20.3467
100506273	LOC100506273	0
284498	C1orf167	0
100506310	LOC100506310	0
4524	MTHFR	5.7212
1185	CLCN6	2.6693
100379251	NPPA-AS1	2.3013
4878	NPPA	1.6427
4879	NPPB	0.27696
390997	LOC390997	0
26829	RNU5E-1	0
90231	KIAA2013	74.8908
5351	PLOD1	30.9626
9927	MFN2	20.6256
60672	MIIP	17.5521
943	TNFRSF8	0.19973
7133	TNFRSF1B	31.5345
100616438	MIR4632	1.7308
390998	LOC390998	0
55187	VPS13D	1.9237
677885	SNORA59A	0
9249	DHRS3	49.9008
343066	AADACL4	0
126767	AADACL3	0
93190	C1orf158	0
390999	PRAMEF12	0
65121	PRAMEF1	0
440560	PRAMEF11	0
441870	LOC441870	0
343069	HNRNPCL1	1.9679
65122	PRAMEF2	0
400735	PRAMEF4	0
343071	PRAMEF10	0
441871	PRAMEF7	0
729356	LOC729356	0
440561	PRAMEF6	0
100129611	LOC100129611	0
653606	PRAMEF22	0
729368	PRAMEF23	0
100132865	LOC100132865	0
441873	PRAMEF25	0
649324	LOC649324	0
100419649	LOC100419649	0
440563	LOC440563	0.64105
645354	LOC645354	0
645359	LOC645359	0
401940	PRAMEF3	0
100132443	LOC100132443	0
343068	PRAMEF5	0
650236	LOC650236	0
391002	PRAMEF8	0
645382	LOC645382	0
343070	PRAMEF9	0
400736	PRAMEF13	0
391003	PRAMEF18	0
654348	PRAMEF16	0
391001	PRAMEF21	0
729516	PRAMEF24	0
645399	LOC645399	0
653619	PRAMEF15	0
729528	PRAMEF14	0
645414	PRAMEF19	0
391004	PRAMEF17	0
645425	PRAMEF20	0
126755	LRRC38	0
10630	PDPN	2.9666
7799	PRDM2	1.9586
23254	KAZN	0.62146
494541	TBCAP2	0
200197	C1orf126	0.43522
55092	TMEM51	15.6348
100420251	LOC100420251	0
