Gene ID	Gene Symbol	CCFA_Risk_246
100506145	LOC100506145	0
100287102.chr1.1	DDX11L1	0.000772
100287102.chr1.2	DDX11L1	0
653635	WASH7P	9.7502
100302278	MIR1302-2	0
645520	FAM138A	0.029267
79504	OR4G4P	0
403263	OR4G11P	0
79501	OR4F5	0
100420257	LOC100420257	0
729737	LOC729737	9.1806
728481	RPL23AP21	0
100132287	LOC100132287	8.0828
100288667	CICP7	0
100288646	LOC100288646	0
729759	OR4F29	0
728517	RPL23AP24	0
100652939	LOC100652939	0
81399	OR4F16	0
100287654	LOC100287654	0
100132630	CICP3	0
100133331	LOC100133331	6.9481
100288069	LOC100288069	4.9215
100287934	LOC100287934	0
400728	FAM87B	0
79854	LINC00115	2.397
643837	LOC643837	4.2847
100506327	LOC100506327	0
284593	FAM41C	1.4231
388579	LOC388579	0
284600	LOC284600	0.15828
100130417	LOC100130417	2.4586
148398	SAMD11	9.0238
26155	NOC2L	12.4715
339451	KLHL17	5.0322
84069	PLEKHN1	0.28231
84808	C1orf170	0.26555
57801	HES4	8.4959
100270829	RPL39P12	0
9636	ISG15	55.2545
375790	AGRN	10.2989
100288175	LOC100288175	0.77676
401934	RNF223	0
54991	C1orf159	4.2697
254099	LOC254099	0.25532
406984	MIR200B	0
406983	MIR200A	1.0022
554210	MIR429	6.6072
100506376	TTLL10-AS1	0
254173	TTLL10	0.057304
8784	TNFRSF18	9.5175
7293	TNFRSF4	10.7665
51150	SDF4	40.895
126792	B3GALT6	6.9134
388581	FAM132A	13.3434
118424	UBE2J2	19.663
6339	SCNN1D	3.4083
116983	ACAP3	10.5775
126789	PUSL1	4.5108
54973	CPSF3L	16.751
80772	GLTPD1	17.4801
83756	TAS1R3	1.5953
1855	DVL1	13.4073
54587	MXRA8	16.6539
54998	AURKAIP1	50.4307
81669	CCNL2	38.3728
148413	LOC148413	12.3497
55052	MRPL20	30.922
441869	ANKRD65	4.4374
643965	TMEM88B	0
64856	VWA1	9.2714
219293	ATAD3C	1.8698
83858	ATAD3B	7.9573
55210	ATAD3A	6.4623
339453	TMEM240	0.75904
29101	SSU72	26.1626
643988	C1orf233	1.8566
142678	MIB2	9.5431
8510	MMP23B	3.6369
728661	SLC35E2B	22.7133
984	CDK11B	3.4389
