Gene ID	Gene Symbol	CCFA_Risk_237
100506145	LOC100506145	0
100287102.chr1.1	DDX11L1	0
100287102.chr1.2	DDX11L1	0
653635	WASH7P	11.443
100302278	MIR1302-2	0
645520	FAM138A	0.029896
79504	OR4G4P	0
403263	OR4G11P	0
79501	OR4F5	0
100420257	LOC100420257	0
729737	LOC729737	11.3156
728481	RPL23AP21	0
100132287	LOC100132287	8.5782
100288667	CICP7	0
100288646	LOC100288646	0
729759	OR4F29	0
728517	RPL23AP24	0
100652939	LOC100652939	0
81399	OR4F16	0
100287654	LOC100287654	0
100132630	CICP3	0
100133331	LOC100133331	7.304
100288069	LOC100288069	6.6016
100287934	LOC100287934	0
400728	FAM87B	0
79854	LINC00115	1.5068
643837	LOC643837	2.7617
100506327	LOC100506327	0
284593	FAM41C	0.85163
388579	LOC388579	0
284600	LOC284600	0.11645
100130417	LOC100130417	0.90305
148398	SAMD11	4.205
26155	NOC2L	9.4691
339451	KLHL17	3.5094
84069	PLEKHN1	0.41592
84808	C1orf170	0.2782
57801	HES4	8.3833
100270829	RPL39P12	0
9636	ISG15	63.306
375790	AGRN	13.8467
100288175	LOC100288175	0.30565
401934	RNF223	0.063166
54991	C1orf159	3.7641
254099	LOC254099	0.35042
406984	MIR200B	6.3859
406983	MIR200A	4.3941
554210	MIR429	15.2332
100506376	TTLL10-AS1	0.045936
254173	TTLL10	0.099249
8784	TNFRSF18	4.5117
7293	TNFRSF4	4.2333
51150	SDF4	43.6434
126792	B3GALT6	5.5845
388581	FAM132A	19.1171
118424	UBE2J2	17.1761
6339	SCNN1D	3.6933
116983	ACAP3	10.3614
126789	PUSL1	4.4848
54973	CPSF3L	13.8131
80772	GLTPD1	18.1301
83756	TAS1R3	0.7378
1855	DVL1	13.0988
54587	MXRA8	14.3177
54998	AURKAIP1	50.8516
81669	CCNL2	37.6879
148413	LOC148413	8.1147
55052	MRPL20	26.0516
441869	ANKRD65	1.2441
643965	TMEM88B	0
64856	VWA1	12.3825
219293	ATAD3C	1.431
83858	ATAD3B	7.2461
55210	ATAD3A	5.4223
339453	TMEM240	0.41622
29101	SSU72	19.8189
643988	C1orf233	1.832
142678	MIB2	8.4211
8510	MMP23B	2.0365
728661	SLC35E2B	16.634
984	CDK11B	3.7501
100287685	LOC100287685	0
100288379	LOC100288379	0
8511	MMP23A	1.7783
728642	CDK11A	28.428
9906	SLC35E2	12.7938
100129381	LOC100129381	0
65220	NADK	25.0892
2782	GNB1	140.4028
163688	CALML6	0.064371
339456	TMEM52	0.53529
339457	C1orf222	0
85452	KIAA1751	0.16971
2563	GABRD	0.036817
5590	PRKCZ	10.4188
100506504	LOC100506504	0
199990	C1orf86	7.4527
6497	SKI	9.7934
79906	MORN1	0.57689
100129534	LOC100129534	0.75664
11079	RER1	54.732
5192	PEX10	5.4708
9651	PLCH2	2.2455
55229	PANK4	8.6634
388585	HES5	0.21707
115110	LOC115110	27.1919
100133445	LOC100133445	19.6162
8764	TNFRSF14	53.4277
100131742	LOC100131742	0
127281	FAM213B	25.7891
79258	MMEL1	0.70744
100287898	TTC34	0.079856
140625	ACTRT2	0
440556	FLJ42875	0.20384
63976	PRDM16	0.33653
100420339	LOC100420339	0
100422968	MIR4251	0
27237	ARHGEF16	24.3166
1953	MEGF6	2.4751
693135	MIR551A	0
127262	TPRG1L	45.1032
49856	WRAP73	4.9588
7161	TP73	0.12784
100506635	LOC100506635	0
57212	TP73-AS1	3.3124
148870	CCDC27	0
388588	LOC388588	0.32451
57470	LRRC47	18.9318
9731	CEP104	4.9687
1677	DFFB	3.5613
339448	C1orf174	11.0915
100133612	LOC100133612	1.1609
728716	LOC728716	0
644357	LOC644357	0
284661	LOC284661	0
55966	AJAP1	0.085465
100616489	MIR4417	0
100287877	LOC100287877	0
100616421	MIR4689	0
261734	NPHP4	1.5092
8514	KCNAB2	4.3923
26038	CHD5	0.050494
6146	RPL22	150.0251
388591	RNF207	4.9243
23463	ICMT	22.265
148645	LINC00337	0.056248
390992	HES3	0
387509	GPR153	11.7805
11332	ACOT7	34.7319
100130071	LOC100130071	0
54626	HES2	2.9804
83715	ESPN	24.6713
100422975	MIR4252	0
8718	TNFRSF25	18.0705
57449	PLEKHG5	6.1373
79707	NOL9	3.7378
80835	TAS1R1	0.10041
3104	ZBTB48	8.4785
9903	KLHL21	4.3183
148479	PHF13	4.3099
90326	THAP3	5.0384
55735	DNAJC11	14.5475
100505887	LOC100505887	0
23261	CAMTA1	2.403
100270828	RPL37P9	0
100129476	LOC100129476	0
9341	VAMP3	50.9764
8863	PER3	3.123
10911	UTS2	0.20087
3604	TNFRSF9	0.92906
11315	PARK7	30.3198
54206	ERRFI1	10.462
390993	RPL7AP18	0
100129776	LOC100129776	0
50651	SLC45A1	0.53097
473	RERE	13.6303
100270823	RPL7P11	0
644896	RPL7P7	0
100128662	RPL27P3	0
100131143	RPL23AP19	0
2023	ENO1	134.4572
100505975	ENO1-AS1	0
100113373	HMGN2P17	0
765	CA6	0
155184	SLC2A7	0.046051
6518	SLC2A5	27.0224
80045	GPR157	0.19011
727721	LOC727721	0.91458
407040	MIR34A	0
9563	H6PD	10.6922
80176	SPSB1	9.6625
100506022	LOC100506022	0
84275	SLC25A33	4.8901
642740	RPL9P11	0
199953	TMEM201	1.2549
5293	PIK3CD	7.5415
644997	C1orf200	0.11663
100270883	RPL26P7	0
22883	CLSTN1	30.6839
645010	FLJ16126	0
56998	CTNNBIP1	7.1435
84328	LZIC	15.6468
64802	NMNAT1	8.7374
116362	RBP7	1.1405
10277	UBE4B	8.8196
100270877	RPL21P21	0
100420660	PGAM1P11	0
23095	KIF1B	4.6079
100422970	MIR1273D	0
100287506	LOC100287506	0
5226	PGD	56.6581
100526739	APITD1-CORT	0
378708	APITD1	4.6556
1325	CORT	0.53428
1676	DFFA	6.4431
5195	PEX14	5.5054
54897	CASZ1	7.1918
148345	C1orf127	0.43153
390996	LOC390996	0
23435	TARDBP	30.5208
10747	MASP2	1.0392
6723	SRM	15.2277
5394	EXOSC10	14.1326
100652764	LOC100652764	0
2475	MTOR	5.8226
10218	ANGPTL7	0.063335
100270891	RPL39P6	0
29914	UBIAD1	3.7632
100421341	LOC100421341	0
57540	PTCHD2	0.060327
26232	FBXO2	3.4053
93611	FBXO44	5.7518
26270	FBXO6	23.1271
10459	MAD2L2	6.464
374946	C1orf187	0
57085	AGTRAP	12.6772
100506273	LOC100506273	0
284498	C1orf167	0
100506310	LOC100506310	0
4524	MTHFR	9.3972
1185	CLCN6	5.3297
100379251	NPPA-AS1	2.6858
4878	NPPA	1.7122
4879	NPPB	0
390997	LOC390997	0
26829	RNU5E-1	0
90231	KIAA2013	61.2534
5351	PLOD1	23.785
9927	MFN2	33.8339
60672	MIIP	11.1506
943	TNFRSF8	0.11382
7133	TNFRSF1B	31.4613
100616438	MIR4632	0
390998	LOC390998	0
55187	VPS13D	3.8307
677885	SNORA59A	0
9249	DHRS3	28.4335
343066	AADACL4	0
126767	AADACL3	0
93190	C1orf158	0
390999	PRAMEF12	0
65121	PRAMEF1	0
440560	PRAMEF11	0
441870	LOC441870	0
343069	HNRNPCL1	2.9149
65122	PRAMEF2	0
400735	PRAMEF4	0
343071	PRAMEF10	0
441871	PRAMEF7	0
729356	LOC729356	0
440561	PRAMEF6	0
100129611	LOC100129611	0
653606	PRAMEF22	0
729368	PRAMEF23	0
100132865	LOC100132865	0
441873	PRAMEF25	0
649324	LOC649324	0
100419649	LOC100419649	0
440563	LOC440563	1.0238
645354	LOC645354	0
645359	LOC645359	0
401940	PRAMEF3	0
100132443	LOC100132443	0
343068	PRAMEF5	0
650236	LOC650236	0
391002	PRAMEF8	0
645382	LOC645382	0
343070	PRAMEF9	0
400736	PRAMEF13	0
391003	PRAMEF18	0
654348	PRAMEF16	0
391001	PRAMEF21	0
729516	PRAMEF24	0
645399	LOC645399	0
653619	PRAMEF15	0
729528	PRAMEF14	0
645414	PRAMEF19	0
391004	PRAMEF17	0
645425	PRAMEF20	0
126755	LRRC38	0
10630	PDPN	4.2894
7799	PRDM2	4.0289
23254	KAZN	1.0362
494541	TBCAP2	0
200197	C1orf126	1.3766
55092	TMEM51	13.5626
