Gene ID	Gene Symbol	CCFA_Risk_029
100506145	LOC100506145	0
100287102.chr1.1	DDX11L1	0
100287102.chr1.2	DDX11L1	0
653635	WASH7P	12.2539
100302278	MIR1302-2	0
645520	FAM138A	0
79504	OR4G4P	0
403263	OR4G11P	0
79501	OR4F5	0
100420257	LOC100420257	0
729737	LOC729737	1.0009
728481	RPL23AP21	0
100132287	LOC100132287	3.0974
100288667	CICP7	0
100288646	LOC100288646	0
729759	OR4F29	0
728517	RPL23AP24	0
100652939	LOC100652939	0
81399	OR4F16	0
100287654	LOC100287654	0
100132630	CICP3	0
100133331	LOC100133331	3.0264
100288069	LOC100288069	0.2802
100287934	LOC100287934	0
400728	FAM87B	0
79854	LINC00115	0.91152
643837	LOC643837	2.2647
100506327	LOC100506327	0
284593	FAM41C	1.154
388579	LOC388579	0
284600	LOC284600	0.03156
100130417	LOC100130417	2.5404
148398	SAMD11	6.5093
26155	NOC2L	10.9383
339451	KLHL17	2.7043
84069	PLEKHN1	0.18787
84808	C1orf170	0.28274
57801	HES4	7.1013
100270829	RPL39P12	0
9636	ISG15	137.7096
375790	AGRN	9.5999
100288175	LOC100288175	0.78144
401934	RNF223	0.34238
54991	C1orf159	5.7315
254099	LOC254099	0.46773
406984	MIR200B	0
406983	MIR200A	0.78965
554210	MIR429	4.5821
100506376	TTLL10-AS1	0.054382
254173	TTLL10	0.15254
8784	TNFRSF18	6.1567
7293	TNFRSF4	4.1651
51150	SDF4	46.6479
126792	B3GALT6	5.538
388581	FAM132A	40.139
118424	UBE2J2	20.6413
6339	SCNN1D	5.0018
116983	ACAP3	7.9942
126789	PUSL1	7.5197
54973	CPSF3L	12.9584
80772	GLTPD1	23.6483
83756	TAS1R3	0.16213
1855	DVL1	8.8157
54587	MXRA8	10.0142
54998	AURKAIP1	131.3518
81669	CCNL2	29.5513
148413	LOC148413	8.9079
55052	MRPL20	66.7907
441869	ANKRD65	1.7963
643965	TMEM88B	0
64856	VWA1	9.4822
219293	ATAD3C	1.3636
83858	ATAD3B	7.9455
55210	ATAD3A	7.8168
339453	TMEM240	0.14101
29101	SSU72	40.5598
643988	C1orf233	3.2641
142678	MIB2	6.8343
8510	MMP23B	1.9381
728661	SLC35E2B	9.751
984	CDK11B	2.336
100287685	LOC100287685	0
100288379	LOC100288379	0
8511	MMP23A	2.2406
728642	CDK11A	21.7171
9906	SLC35E2	7.4592
100129381	LOC100129381	0
65220	NADK	26.6874
2782	GNB1	95.966
163688	CALML6	0.087228
339456	TMEM52	2.7564
339457	C1orf222	0
85452	KIAA1751	0.16864
2563	GABRD	0
5590	PRKCZ	5.8056
100506504	LOC100506504	0
199990	C1orf86	21.5253
6497	SKI	4.8603
79906	MORN1	0.28102
100129534	LOC100129534	0.25633
11079	RER1	71.7173
5192	PEX10	4.4095
9651	PLCH2	1.207
55229	PANK4	5.8125
388585	HES5	0.14707
115110	LOC115110	36.8035
100133445	LOC100133445	4.1612
8764	TNFRSF14	58.6303
100131742	LOC100131742	0
127281	FAM213B	28.9527
79258	MMEL1	2.5303
100287898	TTC34	0
140625	ACTRT2	0
440556	FLJ42875	0.86313
63976	PRDM16	0.28612
100420339	LOC100420339	0
100422968	MIR4251	0
27237	ARHGEF16	17.4739
1953	MEGF6	0.6642
693135	MIR551A	0
127262	TPRG1L	45.3747
49856	WRAP73	4.2737
7161	TP73	0.14668
100506635	LOC100506635	0
57212	TP73-AS1	1.6209
148870	CCDC27	0
388588	LOC388588	2.2866
57470	LRRC47	20.6673
9731	CEP104	2.9008
1677	DFFB	1.9953
339448	C1orf174	11.8552
100133612	LOC100133612	0.49122
728716	LOC728716	0
644357	LOC644357	0
284661	LOC284661	0
55966	AJAP1	0.028953
100616489	MIR4417	0
100287877	LOC100287877	0
100616421	MIR4689	0
261734	NPHP4	0.38907
8514	KCNAB2	2.0086
26038	CHD5	0
6146	RPL22	275.8301
388591	RNF207	2.0755
23463	ICMT	15.8447
148645	LINC00337	0.33029
390992	HES3	0
387509	GPR153	11.8375
11332	ACOT7	40.5233
100130071	LOC100130071	0
54626	HES2	2.8023
83715	ESPN	41.2978
100422975	MIR4252	0
8718	TNFRSF25	20.649
57449	PLEKHG5	2.1441
79707	NOL9	3.6518
80835	TAS1R1	0.034361
3104	ZBTB48	10.0467
9903	KLHL21	1.8089
148479	PHF13	3.2187
90326	THAP3	15.879
55735	DNAJC11	5.7472
100505887	LOC100505887	0
23261	CAMTA1	4.6249
100270828	RPL37P9	0
100129476	LOC100129476	0
9341	VAMP3	41.1758
8863	PER3	4.9664
10911	UTS2	0.20423
3604	TNFRSF9	0.21536
11315	PARK7	41.7959
54206	ERRFI1	5.5864
390993	RPL7AP18	0
100129776	LOC100129776	0
50651	SLC45A1	0.58276
473	RERE	7.7801
100270823	RPL7P11	0
644896	RPL7P7	0
100128662	RPL27P3	0
100131143	RPL23AP19	0
2023	ENO1	243.1955
100505975	ENO1-AS1	0.646
100113373	HMGN2P17	0
765	CA6	0.042741
155184	SLC2A7	0.062403
6518	SLC2A5	24.2028
80045	GPR157	0.000997
727721	LOC727721	0.97576
407040	MIR34A	0
9563	H6PD	6.6851
80176	SPSB1	7.1263
100506022	LOC100506022	0
84275	SLC25A33	4.5948
642740	RPL9P11	0
199953	TMEM201	0.86614
5293	PIK3CD	5.6399
644997	C1orf200	0
100270883	RPL26P7	0
22883	CLSTN1	37.0714
645010	FLJ16126	0
56998	CTNNBIP1	10.9346
84328	LZIC	8.4927
64802	NMNAT1	5.966
116362	RBP7	2.2078
10277	UBE4B	5.4248
100270877	RPL21P21	0
100420660	PGAM1P11	0
23095	KIF1B	2.1258
100422970	MIR1273D	0
100287506	LOC100287506	0
5226	PGD	55.7022
100526739	APITD1-CORT	0
378708	APITD1	5.2108
1325	CORT	1.2732
1676	DFFA	4.4596
5195	PEX14	5.4185
54897	CASZ1	3.5616
148345	C1orf127	0.24078
390996	LOC390996	0
23435	TARDBP	29.41
10747	MASP2	0.50219
6723	SRM	25.2265
5394	EXOSC10	7.0196
100652764	LOC100652764	0
2475	MTOR	3.1218
10218	ANGPTL7	0.12874
100270891	RPL39P6	0
29914	UBIAD1	2.7792
100421341	LOC100421341	0
57540	PTCHD2	0.065399
26232	FBXO2	4.1454
93611	FBXO44	5.9338
26270	FBXO6	21.5954
10459	MAD2L2	6.5658
374946	C1orf187	0
57085	AGTRAP	22.4782
100506273	LOC100506273	0
284498	C1orf167	0
100506310	LOC100506310	0
4524	MTHFR	4.1708
1185	CLCN6	2.3784
100379251	NPPA-AS1	1.2294
4878	NPPA	1.0283
4879	NPPB	0
390997	LOC390997	0
26829	RNU5E-1	0
90231	KIAA2013	60.712
5351	PLOD1	22.7077
9927	MFN2	20.8216
60672	MIIP	16.2545
943	TNFRSF8	0.20565
7133	TNFRSF1B	23.3053
100616438	MIR4632	0
390998	LOC390998	0
55187	VPS13D	1.776
677885	SNORA59A	0.75188
9249	DHRS3	39.9745
343066	AADACL4	0
126767	AADACL3	0
93190	C1orf158	0
390999	PRAMEF12	0
65121	PRAMEF1	0
440560	PRAMEF11	0
441870	LOC441870	0
343069	HNRNPCL1	3.9543
65122	PRAMEF2	0
400735	PRAMEF4	0
343071	PRAMEF10	0
441871	PRAMEF7	0
729356	LOC729356	0
440561	PRAMEF6	0
100129611	LOC100129611	0
653606	PRAMEF22	0
729368	PRAMEF23	0
100132865	LOC100132865	0
441873	PRAMEF25	0
649324	LOC649324	0
100419649	LOC100419649	0
440563	LOC440563	1.1423
645354	LOC645354	0
645359	LOC645359	0
401940	PRAMEF3	0
100132443	LOC100132443	0
343068	PRAMEF5	0
650236	LOC650236	0
391002	PRAMEF8	0
645382	LOC645382	0
343070	PRAMEF9	0
400736	PRAMEF13	0
391003	PRAMEF18	0
654348	PRAMEF16	0
391001	PRAMEF21	0
729516	PRAMEF24	0
645399	LOC645399	0
653619	PRAMEF15	0
729528	PRAMEF14	0
645414	PRAMEF19	0
391004	PRAMEF17	0
645425	PRAMEF20	0
126755	LRRC38	0.050335
10630	PDPN	2.4535
7799	PRDM2	2.0134
23254	KAZN	0.75223
494541	TBCAP2	0
200197	C1orf126	0.50655
55092	TMEM51	15.6202
